Object Number,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Reign,Portfolio,Constiuent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Nationality,Artist Begin Date,Artist End Date,Object Begin Date,Object End Date,Medium,Credit Line,Geography Type,City,State,County,Country,Classification
36.90.646,TRUE,223747,,European Sculpture and Decorative Arts,1936,Piece,Piece,Italian,,,,,,,,,,,,1500,1699,Silk and metal thread,"Gift of The United Piece Dye Works, 1936",,,,,Italy,Textiles-Velvets
36.90.647,TRUE,223748,,European Sculpture and Decorative Arts,1936,Piece,Piece,Italian,,,,,,,,,,,,1500,1699,Silk and metal thread,"Gift of The United Piece Dye Works, 1936",,,,,Italy,Textiles-Velvets
36.90.648,TRUE,223749,,European Sculpture and Decorative Arts,1936,Piece,Piece,Italian,,,,,,,,,,,,1500,1699,Silk and metal thread,"Gift of The United Piece Dye Works, 1936",,,,,Italy,Textiles-Velvets
36.90.649,TRUE,223750,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.650,TRUE,223751,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1745,1750,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.651,TRUE,223752,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1750,1760,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.652,TRUE,223753,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.653,TRUE,223754,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.654,TRUE,223755,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1750,1760,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.655,TRUE,223756,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.656,TRUE,223757,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1750,1760,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.657,TRUE,223758,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1750,1760,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.658,TRUE,223759,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.659,TRUE,223760,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1750,1760,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.660,TRUE,223761,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.661,TRUE,223762,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.662,TRUE,223763,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.663,TRUE,223764,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1750,1760,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.664,TRUE,223765,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.665,TRUE,223766,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1800,1815,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.666,TRUE,223767,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1800,1815,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.667,TRUE,223768,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1800,1815,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.668,TRUE,223769,,European Sculpture and Decorative Arts,1936,Piece,Piece,French or Italian,,,,,,,,,,,,1730,1740,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.669,TRUE,223770,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.670,TRUE,223771,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1750,1760,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.671,TRUE,223772,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.672,TRUE,223773,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.673,TRUE,223774,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.674,TRUE,223775,,European Sculpture and Decorative Arts,1936,Piece,Piece,Italian,,,,,,,,,,,,1695,1705,Silk,"Gift of The United Piece Dye Works, 1936",,,,,Italy,Textiles-Woven
36.90.675,TRUE,223776,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1750,1760,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.676,TRUE,223777,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1760,1770,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.677,TRUE,223778,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.678,TRUE,223779,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.679,TRUE,223780,,European Sculpture and Decorative Arts,1936,Piece,Piece,Italian,,,,,,,,,,,,1690,1700,Silk,"Gift of The United Piece Dye Works, 1936",,,,,Italy,Textiles-Woven
36.90.680,TRUE,223781,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk and metal thread,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.681,TRUE,223782,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1760,1770,Silk and metal thread,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.682,TRUE,223783,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1760,1770,Silk and metal thread,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.842,TRUE,223943,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk and metal thread on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.843,TRUE,223944,,European Sculpture and Decorative Arts,1936,Piece,Piece,Italian,,,,,,,,,,,,1700,1715,Silk and cotton,"Gift of The United Piece Dye Works, 1936",,,,,Italy,Textiles-Embroidered
36.90.844,TRUE,223945,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.845,TRUE,223946,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1800,1815,Silk on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.847,TRUE,223948,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1785,1799,Metal thread on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.849,FALSE,223950,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Printed
36.90.857,FALSE,223958,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1800,1899,Cotton,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Printed
36.90.858,FALSE,223959,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1800,1899,Cotton,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Printed
36.90.859,FALSE,223960,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1800,1899,Cotton,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Printed
36.90.860,FALSE,223961,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1800,1899,Cotton,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Printed
36.90.861,TRUE,223962,,European Sculpture and Decorative Arts,1936,Piece,Piece,"French, Mulhouse or Thann",,,,,,,,,,,,1855,1875,Cotton,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Printed
36.90.862,TRUE,223963,,European Sculpture and Decorative Arts,1936,Piece,Piece,"French, Mulhouse or Thann",,,,,,,,,,,,1855,1875,Cotton,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Printed
36.90.863,FALSE,223964,,European Sculpture and Decorative Arts,1936,Kerchief,Kerchief,"French, Alsace",,,,,,,,,,,,1800,1899,Wool,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Printed
36.90.864,FALSE,223965,,European Sculpture and Decorative Arts,1936,Piece,Piece,"French, Alsace",,,,,,,,,,,,1800,1899,Cotton,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Printed
36.90.865,FALSE,223966,,European Sculpture and Decorative Arts,1936,Piece,Piece,"French, Alsace",,,,,,,,,,,,1800,1899,Cotton,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Printed
36.90.866,FALSE,223967,,European Sculpture and Decorative Arts,1936,Piece,Piece,"French, Alsace",,,,,,,,,,,,1800,1899,Cotton,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Printed
36.90.867,FALSE,223968,,European Sculpture and Decorative Arts,1936,Piece,Piece,European,,,,,,,,,,,,1800,1899,Cotton,"Gift of The United Piece Dye Works, 1936",,,,,European,Textiles-Printed
36.90.868,FALSE,223969,,European Sculpture and Decorative Arts,1936,Piece,Piece,European,,,,,,,,,,,,1800,1899,Cotton,"Gift of The United Piece Dye Works, 1936",,,,,European,Textiles-Printed
36.90.869,FALSE,223970,,European Sculpture and Decorative Arts,1936,Piece,Piece,European,,,,,,,,,,,,1800,1899,Cotton,"Gift of The United Piece Dye Works, 1936",,,,,European,Textiles-Printed
36.90.870,FALSE,223971,,European Sculpture and Decorative Arts,1936,Piece,Piece,European,,,,,,,,,,,,1800,1899,Cotton,"Gift of The United Piece Dye Works, 1936",,,,,European,Textiles-Printed
36.90.871,FALSE,223972,,European Sculpture and Decorative Arts,1936,Piece,Piece,European,,,,,,,,,,,,1800,1899,Cotton,"Gift of The United Piece Dye Works, 1936",,,,,European,Textiles-Printed
36.90.872,FALSE,223973,,European Sculpture and Decorative Arts,1936,Piece,Piece,European,,,,,,,,,,,,1800,1899,Cotton,"Gift of The United Piece Dye Works, 1936",,,,,European,Textiles-Printed
36.90.873,FALSE,223974,,European Sculpture and Decorative Arts,1936,Piece,Piece,European,,,,,,,,,,,,1800,1899,Cotton,"Gift of The United Piece Dye Works, 1936",,,,,European,Textiles-Printed
36.90.874,FALSE,223975,,European Sculpture and Decorative Arts,1936,Piece,Piece,European,,,,,,,,,,,,1800,1899,Cotton,"Gift of The United Piece Dye Works, 1936",,,,,European,Textiles-Printed
36.90.875,FALSE,223976,,European Sculpture and Decorative Arts,1936,Piece,Piece,European,,,,,,,,,,,,1800,1899,Wool,"Gift of The United Piece Dye Works, 1936",,,,,European,Textiles-Printed
36.90.876,TRUE,223977,,European Sculpture and Decorative Arts,1936,Piece,Piece,Italian,,,,,,,,,,,,1600,1699,Silk,"Gift of The United Piece Dye Works, 1936",,,,,Italy,Textiles-Woven
36.90.877,TRUE,223978,,European Sculpture and Decorative Arts,1936,Piece,Piece,Italian,,,,,,,,,,,,1600,1699,Silk,"Gift of The United Piece Dye Works, 1936",,,,,Italy,Textiles-Woven
36.90.878,TRUE,223979,,European Sculpture and Decorative Arts,1936,Piece,Piece,Italian,,,,,,,,,,,,1600,1699,Silk and metal thread,"Gift of The United Piece Dye Works, 1936",,,,,Italy,Textiles-Woven
36.90.879,TRUE,223980,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk ,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Velvets
36.90.883,TRUE,223984,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1750,1760,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.884,TRUE,223985,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1745,1755,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.885,TRUE,223986,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.886,TRUE,223987,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.887,TRUE,223988,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.888,TRUE,223989,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.889,TRUE,223990,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.890,TRUE,223991,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1755,1775,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.891,TRUE,223992,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.892,TRUE,223993,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1760,1770,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.893,TRUE,223994,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1745,1755,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.894,TRUE,223995,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.895,TRUE,223996,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.896,TRUE,223997,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.897,TRUE,223998,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1750,1760,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.898,TRUE,223999,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.899,TRUE,224000,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1750,1760,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.900,TRUE,224001,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.901,TRUE,224002,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.902,TRUE,224003,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.903,TRUE,224004,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.904,TRUE,224005,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.905,TRUE,224006,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.906,TRUE,224007,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1680,1700,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.907,TRUE,224008,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1745,1755,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.908,TRUE,224009,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.909,TRUE,224010,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.910,TRUE,224011,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.911,TRUE,224012,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.912,TRUE,224013,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1760,1770,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Velvets
36.90.913,TRUE,224014,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.914,TRUE,224015,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1730,1740,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.915,TRUE,224016,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.916,TRUE,224017,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.917,TRUE,224018,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.918,TRUE,224019,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1750,1760,Silk and metal thread,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.919,TRUE,224020,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1750,1760,Silk and metal thread,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.920,TRUE,224021,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1745,1755,Silk and metal thread,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.921,TRUE,224022,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk and metal thread,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Woven
36.90.922,TRUE,224023,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.923,TRUE,224024,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.924,TRUE,224025,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.925,TRUE,224026,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Velvets
36.90.927,TRUE,224028,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,1700,1799,Cotton,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Printed
36.90.928,TRUE,224029,,European Sculpture and Decorative Arts,1936,Sample,Sample,French,,,,,,,,,,,,1800,1815,Silk on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.929,TRUE,224030,,European Sculpture and Decorative Arts,1936,Sample,Embroidery sample for a man’s suit or waistcoat,French,,,,,,,,,,,,1780,1820,Silk embroidery on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.930,TRUE,224031,,European Sculpture and Decorative Arts,1936,Sample,Embroidery sample for a man’s suit or waistcoat,French,,,,,,,,,,,,1780,1820,Silk embroidery on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.931,TRUE,224032,,European Sculpture and Decorative Arts,1936,Sample,Sample,French,,,,,,,,,,,,1800,1815,Silk on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.932,TRUE,224033,,European Sculpture and Decorative Arts,1936,Sample,Sample,French,,,,,,,,,,,,1800,1815,Silk on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.933,TRUE,224034,,European Sculpture and Decorative Arts,1936,Sample,Sample,French,,,,,,,,,,,,1800,1815,Silk on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.934,TRUE,224035,,European Sculpture and Decorative Arts,1936,Sample,Sample,French,,,,,,,,,,,,1800,1815,Silk on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.935,TRUE,224036,,European Sculpture and Decorative Arts,1936,Sample,Sample,French,,,,,,,,,,,,1800,1815,Silk on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.936,TRUE,224037,,European Sculpture and Decorative Arts,1936,Sample,Sample,French,,,,,,,,,,,,1800,1815,Silk on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.937,TRUE,224038,,European Sculpture and Decorative Arts,1936,Sample,Sample,French,,,,,,,,,,,,1800,1815,Silk and metal thread on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.938,TRUE,224039,,European Sculpture and Decorative Arts,1936,Sample,Sample,French,,,,,,,,,,,,1800,1815,Silk and metal thread on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.939,TRUE,224040,,European Sculpture and Decorative Arts,1936,Sample,Sample,French,,,,,,,,,,,,1800,1815,Silk on cotton,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.940,TRUE,224041,,European Sculpture and Decorative Arts,1936,Sample,Embroidery sample for a man’s suit or waistcoat,French,,,,,,,,,,,,1780,1820,Silk embroidery on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.941,TRUE,224042,,European Sculpture and Decorative Arts,1936,Sample,Embroidery sample for a man’s suit or waistcoat,French,,,,,,,,,,,,1780,1820,Silk embroidery on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.942,TRUE,224043,,European Sculpture and Decorative Arts,1936,Sample,Sample,French,,,,,,,,,,,,1800,1815,Silk on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.943,TRUE,224044,,European Sculpture and Decorative Arts,1936,Sample,Embroidery sample for a man’s suit or waistcoat,French,,,,,,,,,,,,1780,1820,Silk embroidery on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.944,TRUE,224045,,European Sculpture and Decorative Arts,1936,Sample,Embroidery sample for a man’s suit or waistcoat,French,,,,,,,,,,,,1780,1820,Silk embroidery on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.945,TRUE,224046,,European Sculpture and Decorative Arts,1936,Sample,Sample,French,,,,,,,,,,,,1800,1815,Silk on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.946,TRUE,224047,,European Sculpture and Decorative Arts,1936,Sample,Embroidery sample for a man’s suit or waistcoat,French,,,,,,,,,,,,1780,1820,Silk embroidery on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.947,TRUE,224048,,European Sculpture and Decorative Arts,1936,Sample,Sample,French,,,,,,,,,,,,1800,1815,Silk on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.948,TRUE,224049,,European Sculpture and Decorative Arts,1936,Sample,Sample,French,,,,,,,,,,,,1800,1815,Silk on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.949,TRUE,224050,,European Sculpture and Decorative Arts,1936,Sample,Sample,French,,,,,,,,,,,,1800,1815,Silk on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.950,TRUE,224051,,European Sculpture and Decorative Arts,1936,Sample,Sample,French,,,,,,,,,,,,1800,1815,Silk on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
36.90.951,TRUE,224052,,European Sculpture and Decorative Arts,1936,Sample,Sample,French,,,,,,,,,,,,1800,1815,Silk on silk,"Gift of The United Piece Dye Works, 1936",,,,,France,Textiles-Embroidered
